date,time,location,temperature,humidity,soil_texture,rainfall,soil_moisture
2024-07-01,16:00,Field C,32,58,Sand,0.0,0.28
2024-07-02,08:00,Field A,28,61,Loam,0.3,0.37
2024-07-02,12:00,Field B,31,56,Clay,0.0,0.33
2024-07-02,16:00,Field C,33,59,Sand,0.1,0.26
2024-07-03,08:00,Field A,27,62,Loam,0.0,0.40
2024-07-03,12:00,Field B,30,57,Clay,0.2,0.36
2024-07-03,16:00,Field C,32,60,Sand,0.1,0.30
2024-07-04,08:00,Field A,25,63,Loam,0.1,0.42
2024-07-04,12:00,Field B,28,58,Clay,0.0,0.38
2024-07-04,16:00,Field C,30,61,Sand,0.3,0.31
2024-07-05,08:00,Field A,26,60,Loam,0.2,0.39
2024-07-05,12:00,Field B,29,55,Clay,0.1,0.35
2024-07-05,16:00,Field C,31,58,Sand,0.0,0.28
2024-07-06,08:00,Field A,28,61,Loam,0.0,0.41
2024-07-06,12:00,Field B,31,56,Clay,0.3,0.37
2024-07-06,16:00,Field C,33,59,Sand,0.1,0.29
2024-07-07,08:00,Field A,27,62,Loam,0.1,0.43
2024-07-07,12:00,Field B,30,57,Clay,0.0,0.39
2024-07-07,16:00,Field C,32,60,Sand,0.3,0.31
2024-07-08,08:00,Field A,25,62,Loam,0.2,0.40
2024-07-08,12:00,Field B,28,58,Clay,0.1,0.36
2024-07-08,16:00,Field C,30,60,Sand,0.0,0.29
2024-07-09,08:00,Field A,26,61,Loam,0.3,0.38
2024-07-09,12:00,Field B,29,56,Clay,0.0,0.34
2024-07-09,16:00,Field C,31,59,Sand,0.2,0.27
2024-07-10,08:00,Field A,24,63,Loam,0.1,0.41
2024-07-10,12:00,Field B,27,58,Clay,0.4,0.37
2024-07-10,16:00,Field C,29,61,Sand,0.0,0.30
